neu,🚗💨💨 ซิ่งเป็นบางเวลา ซ่อกแซ่กได้ทุกที่ << ขับสนุก ชับมัน ใช่เลย‼️ 👍🏻👍🏻 Honda Jazz>>#Jazz Naja
pos,สนใจ ฟอจูนเนอร์ สีขาวครับ
neg,Nissan คงใกล้จบแล้วแน่ๆ
neu,สุดเท่กับชุดแต่ง RS มาพร้อมภายนอก... สปอร์ต ดุดัน และเทคโนโลยีเพียบ !! #Thaicarlover #Chevrolet #CruzeRS
pos,"แดงโดนใจจริงๆ 😲 Honda Civic Hatchback Rallye RED ลุยงาน #MotorShow2018 หลังจากที่เคยเปิดตัวในรุ่นซีดาน . มาพร้อมระบบสตาร์ทเครื่องยนต์แบบอัจฉริยะ (One Push Ignition System) แค่เพียงกดปุ่ม Start เครื่องยนต์ 1.5 ลิตร เทอร์โบ ของ Honda Civic RED Turbo RS ก็พร้อมจะไปกับเราในทุกเส้นทาง . ราคาค่าตัวอยู่ที่ 1,169,000 บาท . ใครสนใจไปพบตัวจริงกันได้ที่บูธ A9 อาคารชาเลนเจอร์ฮอล์ 1-3 อิมแพค เมืองทองธานี"
neu,"ผมเคยถามคนขับแท็กซี่มาแล้วครับ แกบอกมาแบบนี้นะ โตโยต้าที่นิยมเอามาทำแท็กซี่เพราะเค้ามีโควต้าให้คนซื้อรถที่จะเอามาเป็นแท็กซี่ครับ ถูกกว่าขี้หมูขี้หมาก็คันละ 200,000 ในขณะที่ฮอนด้าก็ไม่ได้ห้ามแต่เค้าขายราคาปกติครับจะซื้อมาทำแท็กซี่ก็ต้องจ่ายเหมือนกับคนอื่น เหตุนี้จึงทำให้ไม่นิยม ส่วนเรื่องอะไหล่กับความคงทนผมว่าไม่ใช่ประเด็นอ่ะถ้ารถมันพังง่ายขนาดนั้นคงขายไม่ได้หรอก คุณภาพรถญี่ปุ่นผมว่าก็พอๆกันน่ะแหละประเด็นคือเรื่องราคาตามที่พี่แกว่ามากกว่า"
q,นิสสัน suv ที่เพิ่งเปิดตัวที่ฟิลิบปินส์เป็นไงบ้างครับ สมรรถภาพ มาไทยเมื่อไร
neu,toyotaกับhondaต่างกันตรงการซ่อมบำรุงราคาซ่อมที่ต่างกันน่าจะจุดเลือกที่นิยมtoyotaมากกว่าแต่ถ้ามีเงินซ่อมบำรุงรถก็จบสำคัญที่สุดอยู่ที่ความต้องการของเจ้าของรถ
neu,ขอบ 18 ใส่ xtrail เท่ารัยครับ รับเทรินขอบเก่าด้วยมั้ยครับ มีขอบ 20 เลนโซอยู่ครับ
neg,ช็อคที่ 1 Benz ขึ้นอันดับ 5 ชนะ มิตซู นิสสัน ฟอร์ด ช็อค 2 MG มาแรงมาก ช็อค 3 เข้าไปดู BMW ติดที่ 11 ปล chev หายสาบสูญ อันนี้ไม่ช็อค
neu,นิสสันโน๊ตครับ
neg,นี่นิสสันยังดูไม่ใหญ่อีกเหรอครับ..ส่วนตัวคิดว่ารถกระบะนิสันออกแบบดูเทอะทะกว่าค่ายอื่นในยุคเดียวกัน(แต่ดูตัวเลขแล้วก็ไม่ได้ใหญ่นะ)ถ้าเขาเดินเกมแบบค่ายเจ้าตลาดทั้ง2ค่ายหรือออกตัวเท่ๆแบบฟอร์ดน่าตะไปได้ดีกว่านี้(ฟอร์ดยังไม่ใข่แรปเตอร์นะแรปเตอร์ส่วนตัวว่าแรปเตอร์เป็นปิคอัพหรูน่าจะเฉพาะกลุ่มที่เงินถึงๆ)
neu,(‘GET 102.5’ ร่วมสร้างปรากฏการณ์เรืองแสงสุดยิ่งใหญ่ เอาใจคนรักสุขภาพ ใน ‘HONDA GET GLOW RUN’) http://www.jiggaban.com/97024-get1025-4/ ‘GET 102.5’ ร่วมสร้างปรากฏการณ์เรืองแสงสุดยิ่งใหญ่ เอาใจคนรักสุขภาพ ใน ‘HONDA GET GLOW RUN’ ​กลับมาอีกครั้งกับงาน “HONDA GET GLOW RUN” มหกรรมวิ่งเรืองแสง ณ สะพานพระราม 8 ที่จัดโดย “คลื่น GET 102.5” บอกได้คำเดียวว่า ครั้งนี้จัดเต็มยิ่งใหญ่อลังการกว่าเดิม รวมพลนักวิ่งทั้งมืออาชีพ และมือสมัครเล่นกว่... ‘GET 102.5’ ร่วมสร้างปรากฏการณ์เรืองแสงสุดยิ่งใหญ่ เอาใจคนรักสุขภาพ ใน ‘HONDA GET GLOW RUN’ ​กลับมาอีกครั้งกับงาน “HONDA GET GLOW RUN” มหกรรมวิ่งเรืองแสง ณ สะพานพระราม 8 ที่จัดโดย “คลื่น GET 102.5” บอกได้คำเดียวว่า ครั้งนี้จัดเต็มยิ่งใหญ่อลังการกว่าเดิม รวมพลนักวิ่งทั้งมืออาชีพ และมือสมัครเล่นกว่
neu,แม้ว่า Nissan Maxima และ Murano ในปัจจุบันทำยอดขายดีขึ้นกว่ารุ่นเดิมแค่ระดับหนึ่ง แต่ในจีน Maxima กลับล้มเหลว Murano แค่พอไปได้ นี่อาจจะเป็นเหตุผลหลักที่ทำให้การปรับโฉม Minorchange ต้องดูสง่างามขึ้น
pos,นิสสันโน๊ต รถประหยัดน้ำมัน ราคาเบา ดีไซร์เลิศ ขับขี่ดีมากๆ ใครๆก้อชอบ มีหลายสีให้เลือกด้วยครับ
neu,พลาดเพราะรีโว่นั่นแหละ
neg,ถ้าทำประตูเปิดเหมือนRX8 เจ้า CHR จะเป็นผู้บุกเบิกรถทรงนี้อย่างเต็มตัว..เพราะมันจะเข้ากับบุคลิกรถแคปทึบสปอร์ต..น่าเสียดาย
neu,วันนี้นะ ที่ลานโตโยต้า คุณวาสี ถนนชัยภูมิ-บ้านเขว้า
neu,ชาวกรุงตื่นเต้น รถบ้านสุดฮิป U Motel ที่ถูกเนรมิตขึ้นมาจาก U Beer #SleepWithU #UMotel อย่าลืมติดดาวเพจ https://www.facebook.com/UBeerThai/ เพื่อไม่พลาดเรื่องราวและกิจกรรม
neu,"Civic ทุกรุ่นใช้ระบบกันสะเทือนหน้าแบบคอยล์สปริง ด้านหลังทอร์ชั่นบาร์พร้อมคอยล์สปริง เครื่องยนต์ยังคงใช้รหัส D และเพิ่มรุ่นใหม่ 1,500 ซีซี CVCC โดยในปี 1984 ได้เพิ่มรุ่นแรงรหัส Si สำหรับทำตลาดญี่ปุ่น ปรับปรุงระบบกันสะเทือน และใช้เครื่องยนต์ DOHC ZC ความจุ 1,600 ซีซี กำลังสูงสุด 130 แรงม้า ส่วนรุ่นที่ทำตลาดในสหรัฐอเมริกาในชื่อ Civic Si 3 ประตู และ CRX Si ใช้เครื่องยนต์หัวฉีด 12 วาล์ว กำลังสูงสุด 91 แรงม้า เดือนพฤศจิกายน 1984 ฮอนด้าเพิ่มระบบขับเคลื่อน 4 ล้อให้ Civic เป็นครั้งแรกในรุ่น Shuttle ช่วงแรกมีปุ่มกดสำหรับเข้า-ออกจากระบบขับเคลื่อน 4 ล้อที่เรียกว่า ""Realtime"" เพราะสามารถทำได้ขณะรถวิ่ง จากนั้นในเดือนกุมภาพันธ์ 1985 จึงเพิ่มรุ่น Quint Integra ตัวถังแฮทช์แบ็ก 3 ประตู ฐานล้อ 2,450 มิลลิเมตร และในเดือนพฤศจิกายน 1986 เพิ่มรุ่น 5 ประตูแฮทช์แบค พร้อมขยายขนาดฐานล้อเป็น 2,520 มม."
pos,Nissan X-trail ขับนิ่ม เสียงเงียบ สบาย คล่องตัว
neu,Nissan Note. ดาวน์เท่าไรค่ะ
pos,น่าสนใจค่ะMGเป็นรถที่ออกแบบเพื่อความปลอดภัยรูปแบบทรงสวยทันสมัย
neu,เผยรถต้นแบบ Small Rs Concept ที่คาดว่าจะเป็น All New Honda Brio รุ่น RS
neu,เขานั้นขี่ ฮอนด้าแจส มาจีบเจ้า พี่นั้งเศร้า ข้างฟีโน่ โง่เหมือนหมา ชีวิตพี่ วันวัน นั้นไปนา ส่วนแก้วตา จับปากกา ในห้องแอร์
